店舗名,電話番号,メールアドレス,都道府県,市区町村,番地名,建物名,URL,SSL
KUA’AINA ららぽーとTOKYO‐BAY店,050-5493-1649,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO‐BAY3F,https://gh9e914.gorp.jp/,True
６６ＫＩＴＣＨＥＮ ＴＯＫＹＯ－ＢＡＹ店,050-5492-1996,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYO-BAY北館1F,https://ghg0700.gorp.jp/,True
新宿つな八 大丸東京店,050-5484-6620,,東京都,千代田区,丸の内1-9-1,大丸東京店12F,http://www.tunahachi.co.jp,False
串家物語 ららぽーとTOKYO‐BAY店,050-5489-4345,,千葉県,船橋市,浜町2-1-1,ららぽーとTOKYOーBAY南館3F,https://kczy624.gorp.jp/,True
日本橋 鰻 伊勢定 東京大丸店,050-5489-1917,,東京都,千代田区,丸の内1-9-1,大丸東京12F,https://g237302.gorp.jp/,True
吉野家 新富町店,03-6280-5905,,東京都,中央区,新富1－17－6,,,
夢庵 江東住吉店,0570-012-347,,東京都,江東区,住吉1-4-2,フレスポ住吉2F,https://www.skylark.co.jp/yumean/,True
富山白えび亭 東京駅店,050-5494-3778,,東京都,千代田区,丸の内1-9-1,東京駅一番街南側B1,https://gh7n600.gorp.jp/,True
大衆ビストロ ジル 東京店,050-5487-3952,,東京都,千代田区,丸の内1-9-1,東京駅一番街2F,https://gf0n306.gorp.jp/,True
馳走三昧 大丸東京,050-5489-2655,,東京都,千代田区,丸の内1-9-1,大丸東京12F,https://gh0d000.gorp.jp/,True
華祭北町ダイニング,050-5492-6821,,東京都,千代田区,丸の内1-9-1,JR東京駅,https://ggxf009.gorp.jp/,True
博多かねふく ふく竹 東京駅店,050-5486-6383,,東京都,千代田区,丸の内1-9-1,東京駅一番街B1,https://g011102.gorp.jp/,True
XEX TOKYO,050-5487-3916,,東京都,千代田区,丸の内1-9-1,大丸東京店13F,https://g239643.gorp.jp/,True
板前バル 東京グルメゾン店,050-5489-0684,,東京都,千代田区,丸の内1-9-1,東京駅1番街M2,https://gamh213.gorp.jp/,True
PRESS BUTTER SAND 大丸東京店,050-5485-0607,,東京都,千代田区,丸の内1-9-1,大丸東京店B1,https://ghyn420.gorp.jp/,True
PRESS BUTTER SAND HANAGATAYA東京,050-5485-0704,,東京都,千代田区,丸の内1-9-1,HANAGATAYA東京グランスタ,https://ghyn418.gorp.jp/,True
叙々苑 大丸東京店,050-5493-0357,,東京都,千代田区,丸の内1-9-1,大丸東京店B1,,
吉野家 恵比寿駅前店,03-5457-7441,,東京都,渋谷区,恵比寿西1－9－6,,,
東京屋台 北町ダイニング店,050-5494-4586,,東京都,千代田区,丸の内1-9-1,東京駅八重洲北口2F,https://g812142.gorp.jp/,True
近畿大学水産研究所 はなれ グランスタ東京店,050-5492-0979,,東京都,千代田区,丸の内1-9-1,グランスタ東京1F,https://gdmh027.gorp.jp/,True
吉野家 浅草通り稲荷町店,03-5812-7961,,東京都,台東区,東上野3－33－8,,,
京橋千疋屋 東京駅一番街店,050-5493-6172,,東京都,千代田区,丸の内1-9-1,東京駅一番街地下,https://gh28201.gorp.jp/,True
吉野家 赤坂三丁目店,03-3560-7258,,東京都,港区,赤坂3－12－11,,,
CITYSHOP 東京駅店,050-5489-1781,,東京都,千代田区,丸の内1-9-1,JR東日本東京駅構内 1F グランスタ東京内,https://gc5c726.gorp.jp/,True
