店舗名,電話番号,メールアドレス,都道府県,市区町村,番地名,建物名,URL,SSL
近畿大学水産研究所 はなれ グランスタ東京店,050-5492-0979,,東京都,千代田区,丸の内1-9-1,グランスタ東京1F,https://gdmh027.gorp.jp/,True
SABATINI di Firenze 大丸東京店,050-5484-4954,,東京都,千代田区,丸の内1-9-1,大丸東京店12階,http://www.miyoshi-grp.com,False
八 by PRESS BUTTER SAND 大丸東京店,050-5485-0571,,東京都,千代田区,丸の内1-9-1,大丸東京店B1,https://ghyn419.gorp.jp/,True
いろり庵東京北町ダイニング,03-6252-0565,,東京都,千代田区,丸の内1-9-1,JR東京駅,https://ggxf012.gorp.jp/,True
吉野家 新富町店,03-6280-5905,,東京都,中央区,新富1－17－6,,,
大衆ビストロ ジル 東京店,050-5487-3952,,東京都,千代田区,丸の内1-9-1,東京駅一番街2F,https://gf0n306.gorp.jp/,True
博多かねふく ふく竹 東京駅店,050-5486-6383,,東京都,千代田区,丸の内1-9-1,東京駅一番街B1,https://g011102.gorp.jp/,True
カジュアル鉄板 伊達,050-5487-3701,,東京都,千代田区,丸の内1-9-1,東京駅一番街2F,https://date-1.gorp.jp/,True
馳走三昧 大丸東京,050-5489-2655,,東京都,千代田区,丸の内1-9-1,大丸東京12F,https://gh0d000.gorp.jp/,True
叙々苑 大丸東京店,050-5493-0357,,東京都,千代田区,丸の内1-9-1,大丸東京店B1,,
東京ギョーザスタンドウーロン,03-6259-1991,,東京都,千代田区,丸の内1-9-1,グランスタ東京B1,https://gj5t502.gorp.jp/,True
吉野家 田原町店,03-5830-3636,,東京都,台東区,西浅草1－7－20,,,
フリホーレス 東京ミッドタウン八重洲店,050-5486-7804,,東京都,中央区,八重洲2-2-1,東京ミッドタウン八重洲B1,https://ghxb106.gorp.jp/,True
富山白えび亭 東京駅店,050-5494-3778,,東京都,千代田区,丸の内1-9-1,東京駅一番街南側B1,https://gh7n600.gorp.jp/,True
築地寿司清東京駅グランルーフ店,050-5493-1376,,東京都,千代田区,丸の内1-9-1,東京駅グランルーフB1,https://ghu1605.gorp.jp/,True
XEX TOKYO,050-5487-3916,,東京都,千代田区,丸の内1-9-1,大丸東京店13F,https://g239643.gorp.jp/,True
銀座アスター 大丸東京店,050-5494-1793,,東京都,千代田区,丸の内1-9-1,大丸東京店12F,https://g456321.gorp.jp/,True
